"Draw date","Results","Winning Numbers",,,,,,"B","Jackpot","Jackpot",,,,,,,
6/27/2015,"2 4 8 21 30 38 22 There were 50 Lotto Raffle numbers in this draw",2,4,8,21,30,38,22,"£3,343,592","£3,343,592",,,,,,,
6/24/2015,"14 23 28 33 35 42 4 There were 50 Lotto Raffle numbers in this draw",14,23,28,33,35,42,4,"£5,872,705","£5,872,705",,,,,,,
6/20/2015,"1 6 23 25 32 35 27 There were 50 Lotto Raffle numbers in this draw",1,6,23,25,32,35,27,"£4,255,281 Rolled","£4,255,281",,,,,,,
6/17/2015,"2 8 12 15 21 42 22 There were 50 Lotto Raffle numbers in this draw",2,8,12,15,21,42,22,"£12,903,324","£12,903,324",,,,,,,
6/13/2015,"18 23 25 37 39 47 17 There were 50 Lotto Raffle numbers in this draw",18,23,25,37,39,47,17,"£11,267,625 Rolled","£11,267,625",,,,,,,
6/10/2015,"23 29 30 39 42 49 5 There were 50 Lotto Raffle numbers in this draw",23,29,30,39,42,49,5,"£7,847,797 Rolled","£7,847,797",,,,,,,
6/6/2015,"10 14 19 24 28 33 6 There were 50 Lotto Raffle numbers in this draw",10,14,19,24,28,33,6,"£5,632,963 Rolled","£5,632,963",,,,,,,
6/3/2015,"17 32 39 40 43 49 2 There were 50 Lotto Raffle numbers in this draw",17,32,39,40,43,49,2,"£2,859,050 Rolled","£2,859,050",,,,,,,
5/30/2015,"6 7 23 27 38 49 24 There were 50 Lotto Raffle numbers in this draw",6,7,23,27,38,49,24,"£3,488,349","£3,488,349",,,,,,,
5/27/2015,"12 27 28 39 41 48 3 There were 51 Lotto Raffle numbers in this draw",12,27,28,39,41,48,3,"£13,538,113","£13,538,113",,,,,,,
5/23/2015,"1 8 22 30 34 40 25 There were 50 Lotto Raffle numbers in this draw",1,8,22,30,34,40,25,"£10,834,187 Rolled","£10,834,187",,,,,,,
5/20/2015,"6 9 22 38 39 41 37 There were 51 Lotto Raffle numbers in this draw",6,9,22,38,39,41,37,"£7,714,351 Rolled","£7,714,351",,,,,,,
5/16/2015,"7 11 15 32 46 48 17 There were 50 Lotto Raffle numbers in this draw",7,11,15,32,46,48,17,"£5,799,595 Rolled","£5,799,595",,,,,,,
12/31/2014,"12 18 22 37 38 49 35 There were 50 Lotto Raffle numbers in this draw",12,18,22,37,38,49,35,"£6,688,109 Rolled","£6,688,109",,,,,,,
12/27/2014,"11 23 28 30 32 46 49 There were 50 Lotto Raffle numbers in this draw",11,23,28,30,32,46,49,"£4,154,032 Rolled","£4,154,032",,,,,,,
12/24/2014,"7 9 13 44 47 48 22 There were 500 Lotto Raffle numbers in this draw",7,9,13,44,47,48,22,"£8,197,213","£8,197,213",,,,,,,
12/20/2014,"18 22 23 32 40 42 28 There were 50 Lotto Raffle numbers in this draw",18,22,23,32,40,42,28,"£4,983,828 Rolled","£4,983,828",,,,,,,
12/17/2014,"2 19 24 33 35 46 12 There were 50 Lotto Raffle numbers in this draw",2,19,24,33,35,46,12,"£15,010,730","£15,010,730",,,,,,,
12/13/2014,"18 30 33 34 38 48 36 There were 50 Lotto Raffle numbers in this draw",18,30,33,34,38,48,36,"£12,244,311 Rolled","£12,244,311",,,,,,,
12/10/2014,"14 15 31 36 42 47 1 There were 50 Lotto Raffle numbers in this draw",14,15,31,36,42,47,1,"£8,466,374 Rolled","£8,466,374",,,,,,,
12/6/2014,"19 23 40 43 45 49 8 There were 50 Lotto Raffle numbers in this draw",19,23,40,43,45,49,8,"£6,295,958 Rolled","£6,295,958",,,,,,,
12/3/2014,"4 17 19 25 35 37 7 There were 50 Lotto Raffle numbers in this draw",4,17,19,25,35,37,7,"£2,059,185 Rolled","£2,059,185",,,,,,,
11/29/2014,"6 11 18 19 38 42 17 There were 50 Lotto Raffle numbers in this draw",6,11,18,19,38,42,17,"£3,592,162","£3,592,162",,,,,,,
11/26/2014,"26 28 29 30 41 49 31 There were 50 Lotto Raffle numbers in this draw",26,28,29,30,41,49,31,"£2,640,517","£2,640,517",,,,,,,
11/22/2014,"2 3 5 15 22 29 26 There were 70 Lotto Raffle numbers in this draw",2,3,5,15,22,29,26,"£7,584,256","£7,584,256",,,,,,,
11/19/2014,"2 15 35 36 38 39 4 There were 100 Lotto Raffle numbers in this draw",2,15,35,36,38,39,4,"£5,905,060 Rolled","£5,905,060",,,,,,,
11/15/2014,"5 26 28 30 42 44 40 There were 50 Lotto Raffle numbers in this draw",5,26,28,30,42,44,40,"£3,884,456 Rolled","£3,884,456",,,,,,,
11/12/2014,"5 9 10 13 41 44 39 There were 50 Lotto Raffle numbers in this draw",5,9,10,13,41,44,39,"£1,709,052","£1,709,052",,,,,,,
11/8/2014,"6 7 22 27 35 42 1 There were 50 Lotto Raffle numbers in this draw",6,7,22,27,35,42,1,"£3,327,004","£3,327,004",,,,,,,
11/5/2014,"2 5 21 25 34 36 28 There were 50 Lotto Raffle numbers in this draw",2,5,21,25,34,36,28,"£2,128,101","£2,128,101",,,,,,,
11/1/2014,"3 5 9 28 35 47 14 There were 200 Lotto Raffle numbers in this draw",3,5,9,28,35,47,14,"£8,850,906","£8,850,906",,,,,,,
10/29/2014,"13 14 17 25 31 49 18 There were 150 Lotto Raffle numbers in this draw",13,14,17,25,31,49,18,"£7,059,487 Rolled","£7,059,487",,,,,,,
10/25/2014,"11 15 17 30 43 49 3 There were 100 Lotto Raffle numbers in this draw",11,15,17,30,43,49,3,"£5,708,496 Rolled","£5,708,496",,,,,,,
10/22/2014,"5 24 28 36 42 47 8 There were 50 Lotto Raffle numbers in this draw",5,24,28,36,42,47,8,"£2,214,880 Rolled","£2,214,880",,,,,,,
10/18/2014,"1 22 30 33 40 47 42 There were 50 Lotto Raffle numbers in this draw",1,22,30,33,40,47,42,"£4,894,097","£4,894,097",,,,,,,
10/15/2014,"6 19 24 26 42 43 23 There were 50 Lotto Raffle numbers in this draw",6,19,24,26,42,43,23,"£2,059,716","£2,059,716",,,,,,,
10/11/2014,"2 5 8 23 26 32 18 There were 50 Lotto Raffle numbers in this draw",2,5,8,23,26,32,18,"£2,886,366","£2,886,366",,,,,,,
10/8/2014,"4 27 28 29 34 43 20 There were 50 Lotto Raffle numbers in this draw",4,27,28,29,34,43,20,"£2,263,686","£2,263,686",,,,,,,
10/4/2014,"4 18 24 34 36 48 10 There were 50 Lotto Raffle numbers in this draw",4,18,24,34,36,48,10,"£4,300,392","£4,300,392",,,,,,,
10/1/2014,"1 4 5 7 18 47 6 There were 50 Lotto Raffle numbers in this draw",1,4,5,7,18,47,6,"£1,265,065","£1,265,065",,,,,,,
9/27/2014,"1 3 7 19 20 46 15 There were 100 Lotto Raffle numbers in this draw",1,3,7,19,20,46,15,"£4,545,164","£4,545,164",,,,,,,
9/24/2014,"4 8 29 33 38 48 15 There were 50 Lotto Raffle numbers in this draw",4,8,29,33,38,48,15,"£2,276,815 Rolled","£2,276,815",,,,,,,
9/20/2014,"2 6 22 26 33 48 43 There were 50 Lotto Raffle numbers in this draw",2,6,22,26,33,48,43,"£3,955,683","£3,955,683",,,,,,,
9/17/2014,"9 19 22 34 41 46 6 There were 250 Lotto Raffle numbers in this draw",9,19,22,34,41,46,6,"£13,712,661","£13,712,661",,,,,,,
9/13/2014,"12 15 22 29 30 35 44 There were 200 Lotto Raffle numbers in this draw",12,15,22,29,30,35,44,"£10,827,987 Rolled","£10,827,987",,,,,,,
9/10/2014,"13 16 18 24 31 43 2 There were 150 Lotto Raffle numbers in this draw",13,16,18,24,31,43,2,"£8,146,335 Rolled","£8,146,335",,,,,,,
9/6/2014,"11 29 32 37 40 48 14 There were 100 Lotto Raffle numbers in this draw",11,29,32,37,40,48,14,"£6,545,800 Rolled","£6,545,800",,,,,,,
9/3/2014,"12 22 23 27 34 35 25 There were 50 Lotto Raffle numbers in this draw",12,22,23,27,34,35,25,"£2,351,598 Rolled","£2,351,598",,,,,,,
8/30/2014,"1 19 20 30 35 46 40 There were 100 Lotto Raffle numbers in this draw",1,19,20,30,35,46,40,"£6,441,879","£6,441,879",,,,,,,
8/27/2014,"5 17 29 36 37 49 2 There were 50 Lotto Raffle numbers in this draw",5,17,29,36,37,49,2,"£2,260,458 Rolled","£2,260,458",,,,,,,
8/23/2014,"1 7 11 38 41 42 45 There were 150 Lotto Raffle numbers in this draw",1,7,11,38,41,42,45,"£7,775,405","£7,775,405",,,,,,,
8/20/2014,"6 12 15 24 35 47 22 There were 100 Lotto Raffle numbers in this draw",6,12,15,24,35,47,22,"£5,492,819 Rolled","£5,492,819",,,,,,,
8/16/2014,"1 3 25 33 36 42 14 There were 50 Lotto Raffle numbers in this draw",1,3,25,33,36,42,14,"£4,246,740 Rolled","£4,246,740",,,,,,,
8/13/2014,"5 9 11 20 23 30 45 There were 50 Lotto Raffle numbers in this draw",5,9,11,20,23,30,45,"£720,152","£720,152",,,,,,,
9/8/2014,"16 36 40 43 45 47 10 There were 100 Lotto Raffle numbers in this draw",16,36,40,43,45,47,10,"£7,087,472","£7,087,472",,,,,,,
6/8/2014,"17 21 29 33 35 46 28 There were 50 Lotto Raffle numbers in this draw",17,21,29,33,35,46,28,"£2,472,288 Rolled","£2,472,288",,,,,,,
2/8/2014,"13 23 28 37 42 45 25 There were 50 Lotto Raffle numbers in this draw",13,23,28,37,42,45,25,"£4,415,154","£4,415,154",,,,,,,
7/30/2014,"2 5 11 22 24 42 1 There were 50 Lotto Raffle numbers in this draw",2,5,11,22,24,42,1,"£1,218,412","£1,218,412",,,,,,,
7/26/2014,"8 14 22 26 35 37 11 There were 50 Lotto Raffle numbers in this draw",8,14,22,26,35,37,11,"£4,202,465","£4,202,465",,,,,,,
7/23/2014,"14 18 20 30 43 47 35 There were 50 Lotto Raffle numbers in this draw",14,18,20,30,43,47,35,"£2,498,916","£2,498,916",,,,,,,
7/19/2014,"5 9 14 25 34 38 40 There were 50 Lotto Raffle numbers in this draw",5,9,14,25,34,38,40,"£3,689,940","£3,689,940",,,,,,,
7/16/2014,"4 11 22 27 47 49 33 There were 50 Lotto Raffle numbers in this draw",4,11,22,27,47,49,33,"£1,688,532","£1,688,532",,,,,,,
7/12/2014,"3 19 23 28 37 43 34 There were 50 Lotto Raffle numbers in this draw",3,19,23,28,37,43,34,"£3,574,539","£3,574,539",,,,,,,
7/9/2014,"3 8 11 12 39 43 18 There were 100 Lotto Raffle numbers in this draw",3,8,11,12,39,43,18,"£4,661,490","£4,661,490",,,,,,,
7/5/2014,"8 15 23 24 28 34 9 There were 50 Lotto Raffle numbers in this draw",8,15,23,24,28,34,9,"£3,728,484 Rolled","£3,728,484",,,,,,,
7/2/2014,"1 18 20 38 43 48 42 There were 50 Lotto Raffle numbers in this draw",1,18,20,38,43,48,42,"£2,854,220","£2,854,220",,,,,,,
6/28/2014,"8 12 28 30 43 49 42 There were 100 Lotto Raffle numbers in this draw",8,12,28,30,43,49,42,"£5,227,520","£5,227,520",,,,,,,
6/25/2014,"5 15 19 25 34 36 40 There were 50 Lotto Raffle numbers in this draw",5,15,19,25,34,36,40,"£1,950,787 Rolled","£1,950,787",,,,,,,
6/21/2014,"3 7 13 17 27 40 19 There were 100 Lotto Raffle numbers in this draw",3,7,13,17,27,40,19,"£3,119,984","£3,119,984",,,,,,,
6/18/2014,"10 11 18 23 26 37 6 There were 50 Lotto Raffle numbers in this draw",10,11,18,23,26,37,6,"£1,792,178 Rolled","£1,792,178",,,,,,,
6/14/2014,"9 18 22 23 29 33 15 There were 50 Lotto Raffle numbers in this draw",9,18,22,23,29,33,15,"£3,447,723","£3,447,723",,,,,,,
6/11/2014,"11 13 14 28 40 42 48 There were 50 Lotto Raffle numbers in this draw",11,13,14,28,40,42,48,"£2,148,950","£2,148,950",,,,,,,
6/7/2014,"5 10 16 23 31 44 37 There were 100 Lotto Raffle numbers in this draw",5,10,16,23,31,44,37,"£4,795,530","£4,795,530",,,,,,,
6/4/2014,"14 19 30 31 47 48 16 There were 50 Lotto Raffle numbers in this draw",14,19,30,31,47,48,16,"£2,575,685 Rolled","£2,575,685",,,,,,,
5/31/2014,"7 9 18 24 39 40 4 There were 50 Lotto Raffle numbers in this draw",7,9,18,24,39,40,4,"£3,885,318","£3,885,318",,,,,,,
5/28/2014,"18 26 32 36 40 45 21 There were 50 Lotto Raffle numbers in this draw",18,26,32,36,40,45,21,"£2,915,369","£2,915,369",,,,,,,
5/24/2014,"10 31 35 40 41 44 46 There were 50 Lotto Raffle numbers in this draw",10,31,35,40,41,44,46,"£5,340,060","£5,340,060",,,,,,,
5/21/2014,"2 5 9 28 29 48 36 There were 50 Lotto Raffle numbers in this draw",2,5,9,28,29,48,36,"£1,474,574","£1,474,574",,,,,,,
5/17/2014,"10 19 20 33 43 46 25 There were 100 Lotto Raffle numbers in this draw",10,19,20,33,43,46,25,"£7,047,302","£7,047,302",,,,,,,
5/14/2014,"15 26 29 35 36 41 19 There were 50 Lotto Raffle numbers in this draw",15,26,29,35,36,41,19,"£2,795,497 Rolled","£2,795,497",,,,,,,
5/10/2014,"3 5 8 10 16 17 46 There were 100 Lotto Raffle numbers in this draw",3,5,8,10,16,17,46,"£3,515,436","£3,515,436",,,,,,,
5/7/2014,"16 17 22 38 44 49 14 There were 50 Lotto Raffle numbers in this draw",16,17,22,38,44,49,14,"£2,363,859 Rolled","£2,363,859",,,,,,,
5/3/2014,"1 7 9 27 30 48 28 There were 100 Lotto Raffle numbers in this draw",1,7,9,27,30,48,28,"£4,767,860","£4,767,860",,,,,,,
4/30/2014,"9 25 34 37 44 45 6 There were 50 Lotto Raffle numbers in this draw",9,25,34,37,44,45,6,"£2,577,562 Rolled","£2,577,562",,,,,,,
4/26/2014,"17 22 23 33 36 42 12 There were 50 Lotto Raffle numbers in this draw",17,22,23,33,36,42,12,"£4,496,272","£4,496,272",,,,,,,
4/23/2014,"16 18 29 34 35 39 40 There were 100 Lotto Raffle numbers in this draw",16,18,29,34,35,39,40,"£7,523,602","£7,523,602",,,,,,,
4/19/2014,"13 20 31 34 36 44 11 There were 50 Lotto Raffle numbers in this draw",13,20,31,34,36,44,11,"£5,323,200 Rolled","£5,323,200",,,,,,,
4/16/2014,"1 6 10 23 25 40 32 There were 50 Lotto Raffle numbers in this draw",1,6,10,23,25,40,32,"£1,679,725","£1,679,725",,,,,,,
4/12/2014,"4 17 22 26 31 47 32 There were 150 Lotto Raffle numbers in this draw",4,17,22,26,31,47,32,"£8,781,364","£8,781,364",,,,,,,
4/9/2014,"8 17 20 32 41 43 9 There were 100 Lotto Raffle numbers in this draw",8,17,20,32,41,43,9,"£6,301,902 Rolled","£6,301,902",,,,,,,
4/5/2014,"3 7 20 31 43 45 41 There were 50 Lotto Raffle numbers in this draw",3,7,20,31,43,45,41,"£4,334,793 Rolled","£4,334,793",,,,,,,
4/2/2014,"14 16 20 38 39 45 23 There were 50 Lotto Raffle numbers in this draw",14,16,20,38,39,45,23,"£2,904,130","£2,904,130",,,,,,,
3/29/2014,"8 14 16 21 47 49 29 There were 50 Lotto Raffle numbers in this draw",8,14,16,21,47,49,29,"£4,637,560","£4,637,560",,,,,,,
3/26/2014,"20 29 33 35 37 40 5 There were 100 Lotto Raffle numbers in this draw",20,29,33,35,37,40,5,"£7,606,458","£7,606,458",,,,,,,
3/22/2014,"17 20 28 39 43 44 40 There were 50 Lotto Raffle numbers in this draw",17,20,28,39,43,44,40,"£5,199,620 Rolled","£5,199,620",,,,,,,
3/19/2014,"4 21 25 27 31 49 26 There were 50 Lotto Raffle numbers in this draw",4,21,25,27,31,49,26,"£2,028,238","£2,028,238",,,,,,,
3/15/2014,"14 19 22 25 38 48 8 There were 100 Lotto Raffle numbers in this draw",14,19,22,25,38,48,8,"£6,235,392","£6,235,392",,,,,,,
