"Draw date","Results","Winning Numbers",,,,,,"B","Jackpot","Jackpot",,,,,,,
5/11/2011,"17 30 33 34 38 48 9",17,30,33,34,38,48,9,"£2,712,999 Rolled","£2,712,999",,,,,,,
5/7/2011,"17 18 24 29 35 48 3",17,18,24,29,35,48,3,"£4,607,457","£4,607,457",,,,,,,
5/4/2011,"2 3 7 17 21 32 1",2,3,7,17,21,32,1,"£1,835,507","£1,835,507",,,,,,,
4/30/2011,"1 6 12 29 36 44 21",1,6,12,29,36,44,21,"£4,018,101","£4,018,101",,,,,,,
4/27/2011,"6 15 27 32 37 44 3",6,15,27,32,37,44,3,"£7,109,502","£7,109,502",,,,,,,
4/23/2011,"5 6 18 36 44 49 10",5,6,18,36,44,49,10,"£4,294,585 Rolled","£4,294,585",,,,,,,
4/20/2011,"3 5 8 9 18 44 42",3,5,8,9,18,44,42,"£1,631,439","£1,631,439",,,,,,,
4/16/2011,"4 34 40 41 44 49 46",4,34,40,41,44,49,46,"£16,366,436","£16,366,436",,,,,,,
4/13/2011,"1 14 25 33 34 43 15",1,14,25,33,34,43,15,"£10,234,334 Rolled","£10,234,334",,,,,,,
4/9/2011,"6 8 17 21 39 47 22",6,8,17,21,39,47,22,"£6,741,884 Rolled","£6,741,884",,,,,,,
4/6/2011,"7 11 13 14 38 41 45",7,11,13,14,38,41,45,"£2,305,420 Rolled","£2,305,420",,,,,,,
4/2/2011,"12 14 32 44 48 49 25",12,14,32,44,48,49,25,"£4,777,974","£4,777,974",,,,,,,
3/30/2011,"10 16 17 21 39 41 47",10,16,17,21,39,41,47,"£2,686,864","£2,686,864",,,,,,,
3/26/2011,"2 9 16 21 31 44 38",2,9,16,21,31,44,38,"£3,953,492","£3,953,492",,,,,,,
3/23/2011,"6 18 23 26 32 44 34",6,18,23,26,32,44,34,"£2,329,590","£2,329,590",,,,,,,
3/19/2011,"10 26 28 34 35 39 17",10,26,28,34,35,39,17,"£5,014,478","£5,014,478",,,,,,,
3/16/2011,"2 15 16 18 47 48 21",2,15,16,18,47,48,21,"£7,243,122","£7,243,122",,,,,,,
3/12/2011,"7 17 19 29 30 38 40",7,17,19,29,30,38,40,"£4,135,122 Rolled","£4,135,122",,,,,,,
3/9/2011,"9 11 37 40 41 49 33",9,11,37,40,41,49,33,"£17,799,986","£17,799,986",,,,,,,
3/5/2011,"4 13 23 29 41 43 49",4,13,23,29,41,43,49,"£13,124,951 Rolled","£13,124,951",,,,,,,
3/2/2011,"1 25 27 41 46 49 4",1,25,27,41,46,49,4,"£7,946,386 Rolled","£7,946,386",,,,,,,
2/26/2011,"6 8 20 29 34 36 43",6,8,20,29,34,36,43,"£4,748,375 Rolled","£4,748,375",,,,,,,
2/23/2011,"1 8 15 21 31 39 32",1,8,15,21,31,39,32,"£7,650,084","£7,650,084",,,,,,,
2/19/2011,"6 16 26 32 34 46 33",6,16,26,32,34,46,33,"£4,830,524 Rolled","£4,830,524",,,,,,,
2/16/2011,"5 11 15 26 29 32 49",5,11,15,26,29,32,49,"£2,191,147","£2,191,147",,,,,,,
2/12/2011,"16 24 27 28 30 36 35",16,24,27,28,30,36,35,"£4,568,535","£4,568,535",,,,,,,
2/9/2011,"2 6 8 9 36 39 29",2,6,8,9,36,39,29,"£2,359,740","£2,359,740",,,,,,,
2/5/2011,"33 34 37 40 41 47 5",33,34,37,40,41,47,5,"£8,395,528","£8,395,528",,,,,,,
2/2/2011,"2 17 20 42 46 48 44",2,17,20,42,46,48,44,"£2,799,911 Rolled","£2,799,911",,,,,,,
1/29/2011,"5 20 25 30 36 47 15",5,20,25,30,36,47,15,"£4,744,746","£4,744,746",,,,,,,
1/26/2011,"14 17 20 43 47 49 31",14,17,20,43,47,49,31,"£2,859,843","£2,859,843",,,,,,,
1/22/2011,"4 14 18 24 41 44 25",4,14,18,24,41,44,25,"£4,467,732","£4,467,732",,,,,,,
1/19/2011,"9 18 34 41 42 43 33",9,18,34,41,42,43,33,"£10,541,506","£10,541,506",,,,,,,
1/15/2011,"7 8 21 24 33 34 2",7,8,21,24,33,34,2,"£6,763,528 Rolled","£6,763,528",,,,,,,
1/12/2011,"11 12 17 19 24 47 37",11,12,17,19,24,47,37,"£2,139,611 Rolled","£2,139,611",,,,,,,
1/8/2011,"13 14 32 35 41 47 46",13,14,32,35,41,47,46,"£8,170,080","£8,170,080",,,,,,,
1/5/2011,"4 10 35 36 43 46 6",4,10,35,36,43,46,6,"£2,802,899 Rolled","£2,802,899",,,,,,,
1/1/2011,"4 9 33 34 36 45 26",4,9,33,34,36,45,26,"£7,290,256","£7,290,256",,,,,,,
12/29/2010,"2 3 16 26 34 39 49",2,3,16,26,34,39,49,"£2,606,354 Rolled","£2,606,354",,,,,,,
12/25/2010,"13 15 22 25 33 34 17",13,15,22,25,33,34,17,"£7,162,962","£7,162,962",,,,,,,
12/22/2010,"7 13 33 37 48 49 20",7,13,33,37,48,49,20,"£2,509,238 Rolled","£2,509,238",,,,,,,
12/18/2010,"9 21 35 38 46 49 40",9,21,35,38,46,49,40,"£4,784,065","£4,784,065",,,,,,,
12/15/2010,"6 9 31 33 40 45 41",6,9,31,33,40,45,41,"£2,584,233","£2,584,233",,,,,,,
12/11/2010,"11 15 24 33 43 49 27",11,15,24,33,43,49,27,"£4,637,145","£4,637,145",,,,,,,
12/8/2010,"14 16 23 24 25 43 48",14,16,23,24,25,43,48,"£2,446,436","£2,446,436",,,,,,,
12/4/2010,"4 15 19 44 45 49 11",4,15,19,44,45,49,11,"£4,581,890","£4,581,890",,,,,,,
12/1/2010,"20 21 22 24 27 34 29",20,21,22,24,27,34,29,"£11,259,928","£11,259,928",,,,,,,
11/27/2010,"4 10 18 41 42 47 8",4,10,18,41,42,47,8,"£7,808,023 Rolled","£7,808,023",,,,,,,
11/24/2010,"11 30 38 45 46 49 37",11,30,38,45,46,49,37,"£2,844,618 Rolled","£2,844,618",,,,,,,
11/20/2010,"6 7 8 17 27 46 29",6,7,8,17,27,46,29,"£3,942,218","£3,942,218",,,,,,,
11/17/2010,"3 6 27 29 33 41 8",3,6,27,29,33,41,8,"£2,347,103","£2,347,103",,,,,,,
11/13/2010,"5 11 29 31 35 39 45",5,11,29,31,35,39,45,"£4,556,790","£4,556,790",,,,,,,
11/10/2010,"15 26 30 35 40 41 34",15,26,30,35,40,41,34,"£2,956,532","£2,956,532",,,,,,,
11/6/2010,"12 22 30 31 34 39 36",12,22,30,31,34,39,36,"£17,700,004","£17,700,004",,,,,,,
11/3/2010,"13 21 28 37 39 45 6",13,21,28,37,39,45,6,"£11,220,394 Rolled","£11,220,394",,,,,,,
10/30/2010,"2 22 32 33 37 45 11",2,22,32,33,37,45,11,"£7,571,342 Rolled","£7,571,342",,,,,,,
10/27/2010,"3 5 11 16 41 48 32",3,5,11,16,41,48,32,"£2,373,619 Rolled","£2,373,619",,,,,,,
10/23/2010,"2 3 14 29 35 42 12",2,3,14,29,35,42,12,"£13,444,188","£13,444,188",,,,,,,
10/20/2010,"14 30 31 36 44 47 26",14,30,31,36,44,47,26,"£8,316,090 Rolled","£8,316,090",,,,,,,
10/16/2010,"6 30 34 38 45 48 32",6,30,34,38,45,48,32,"£5,129,232 Rolled","£5,129,232",,,,,,,
10/13/2010,"18 19 24 26 27 44 8",18,19,24,26,27,44,8,"£2,302,992","£2,302,992",,,,,,,
10/9/2010,"5 11 19 29 33 35 46",5,11,19,29,33,35,46,"£3,957,060","£3,957,060",,,,,,,
10/6/2010,"9 17 18 23 30 35 14",9,17,18,23,30,35,14,"£2,255,769","£2,255,769",,,,,,,
10/2/2010,"10 16 25 26 32 40 46",10,16,25,26,32,40,46,"£4,633,266","£4,633,266",,,,,,,
9/29/2010,"21 25 29 32 38 44 14",21,25,29,32,38,44,14,"£10,944,696","£10,944,696",,,,,,,
9/25/2010,"19 22 30 33 35 39 5",19,22,30,33,35,39,5,"£7,430,054 Rolled","£7,430,054",,,,,,,
9/22/2010,"9 12 27 29 41 47 19",9,12,27,29,41,47,19,"£2,330,858 Rolled","£2,330,858",,,,,,,
9/18/2010,"4 5 16 17 20 32 3",4,5,16,17,20,32,3,"£7,301,829","£7,301,829",,,,,,,
9/15/2010,"2 20 33 40 43 46 14",2,20,33,40,43,46,14,"£2,851,121 Rolled","£2,851,121",,,,,,,
9/11/2010,"4 20 21 35 39 40 28",4,20,21,35,39,40,28,"£4,995,646","£4,995,646",,,,,,,
9/8/2010,"8 10 26 34 48 49 6",8,10,26,34,48,49,6,"£2,606,914","£2,606,914",,,,,,,
9/4/2010,"16 19 26 27 41 47 34",16,19,26,27,41,47,34,"£4,663,612","£4,663,612",,,,,,,
9/1/2010,"7 20 21 27 28 41 4",7,20,21,27,28,41,4,"£2,259,186","£2,259,186",,,,,,,
8/28/2010,"3 17 32 35 43 49 27",3,17,32,35,43,49,27,"£4,701,086","£4,701,086",,,,,,,
8/25/2010,"5 10 12 17 28 30 47",5,10,12,17,28,30,47,"£1,731,568","£1,731,568",,,,,,,
8/21/2010,"8 15 19 26 33 36 1",8,15,19,26,33,36,1,"£4,340,404","£4,340,404",,,,,,,
8/18/2010,"2 13 16 24 25 40 18",2,13,16,24,25,40,18,"£2,448,952","£2,448,952",,,,,,,
8/14/2010,"5 13 17 31 42 46 4",5,13,17,31,42,46,4,"£4,382,550","£4,382,550",,,,,,,
11/8/2010,"4 21 25 27 31 34 45",4,21,25,27,31,34,45,"£2,490,450","£2,490,450",,,,,,,
7/8/2010,"13 16 22 25 31 39 7",13,16,22,25,31,39,7,"£4,471,116","£4,471,116",,,,,,,
4/8/2010,"14 17 22 24 38 43 21",14,17,22,24,38,43,21,"£11,178,334","£11,178,334",,,,,,,
7/31/2010,"10 24 30 33 40 45 16",10,24,30,33,40,45,16,"£7,682,849 Rolled","£7,682,849",,,,,,,
7/28/2010,"1 11 33 37 42 43 19",1,11,33,37,42,43,19,"£2,667,504 Rolled","£2,667,504",,,,,,,
7/24/2010,"24 26 33 35 43 44 27",24,26,33,35,43,44,27,"£7,292,118","£7,292,118",,,,,,,
7/21/2010,"8 16 25 27 28 34 32",8,16,25,27,28,34,32,"£2,276,700 Rolled","£2,276,700",,,,,,,
7/17/2010,"15 28 32 43 44 45 20",15,28,32,43,44,45,20,"£7,706,631","£7,706,631",,,,,,,
7/14/2010,"1 15 25 26 40 43 16",1,15,25,26,40,43,16,"£2,692,875 Rolled","£2,692,875",,,,,,,
7/10/2010,"3 5 30 31 38 47 37",3,5,30,31,38,47,37,"£7,482,244","£7,482,244",,,,,,,
7/7/2010,"23 29 34 36 41 45 22",23,29,34,36,41,45,22,"£2,821,228 Rolled","£2,821,228",,,,,,,
7/3/2010,"8 31 37 43 44 48 14",8,31,37,43,44,48,14,"£7,599,295","£7,599,295",,,,,,,
6/30/2010,"6 18 20 25 35 36 31",6,18,20,25,35,36,31,"£2,549,073 Rolled","£2,549,073",,,,,,,
6/26/2010,"18 26 33 35 37 47 3",18,26,33,35,37,47,3,"£4,774,670","£4,774,670",,,,,,,
6/23/2010,"5 9 13 17 22 27 30",5,9,13,17,22,27,30,"£1,580,124","£1,580,124",,,,,,,
6/19/2010,"34 37 39 41 42 47 45",34,37,39,41,42,47,45,"£8,134,820","£8,134,820",,,,,,,
6/16/2010,"4 8 32 34 40 47 16",4,8,32,34,40,47,16,"£2,699,515 Rolled","£2,699,515",,,,,,,
6/12/2010,"1 16 17 19 33 34 9",1,16,17,19,33,34,9,"£4,694,696","£4,694,696",,,,,,,
6/9/2010,"14 26 33 45 46 49 30",14,26,33,45,46,49,30,"£7,374,712","£7,374,712",,,,,,,
6/5/2010,"5 22 23 24 26 29 31",5,22,23,24,26,29,31,"£4,130,129 Rolled","£4,130,129",,,,,,,
6/2/2010,"2 12 17 25 33 39 1",2,12,17,25,33,39,1,"£2,293,007","£2,293,007",,,,,,,
5/29/2010,"2 17 36 39 42 48 41",2,17,36,39,42,48,41,"£4,791,596","£4,791,596",,,,,,,
5/26/2010,"2 4 5 19 20 27 21",2,4,5,19,20,27,21,"£1,873,893","£1,873,893",,,,,,,
5/22/2010,"1 4 16 37 47 49 27",1,4,16,37,47,49,27,"£4,734,000","£4,734,000",,,,,,,
5/19/2010,"15 23 24 34 36 47 44",15,23,24,34,36,47,44,"£2,797,394","£2,797,394",,,,,,,
5/15/2010,"1 4 24 26 27 48 28",1,4,24,26,27,48,28,"£4,447,545","£4,447,545",,,,,,,
5/12/2010,"11 17 19 40 44 45 16",11,17,19,40,44,45,16,"£11,010,900","£11,010,900",,,,,,,
5/8/2010,"1 26 28 32 46 48 10",1,26,28,32,46,48,10,"£7,599,457 Rolled","£7,599,457",,,,,,,
5/5/2010,"3 6 8 10 36 47 2",3,6,8,10,36,47,2,"£2,262,014 Rolled","£2,262,014",,,,,,,
5/1/2010,"6 15 28 29 30 47 19",6,15,28,29,30,47,19,"£4,599,128","£4,599,128",,,,,,,
4/28/2010,"5 11 19 23 38 46 34",5,11,19,23,38,46,34,"£2,197,434","£2,197,434",,,,,,,
4/24/2010,"1 4 12 23 33 40 35",1,4,12,23,33,40,35,"£4,400,780","£4,400,780",,,,,,,
4/21/2010,"2 10 16 19 33 45 30",2,10,16,19,33,45,30,"£2,476,288","£2,476,288",,,,,,,
4/17/2010,"3 10 29 31 36 44 45",3,10,29,31,36,44,45,"£4,460,495","£4,460,495",,,,,,,
4/14/2010,"2 6 8 23 44 46 37",2,6,8,23,44,46,37,"£16,523,920","£16,523,920",,,,,,,
4/10/2010,"6 9 11 21 40 48 27",6,9,11,21,40,48,27,"£12,084,100 Rolled","£12,084,100",,,,,,,
4/7/2010,"8 11 20 33 43 47 49",8,11,20,33,43,47,49,"£7,058,491 Rolled","£7,058,491",,,,,,,
4/3/2010,"8 9 19 28 31 37 45",8,9,19,28,31,37,45,"£4,194,487 Rolled","£4,194,487",,,,,,,
3/31/2010,"14 18 29 38 43 44 13",14,18,29,38,43,44,13,"£2,596,944","£2,596,944",,,,,,,
3/27/2010,"6 11 15 32 38 42 24",6,11,15,32,38,42,24,"£4,572,531","£4,572,531",,,,,,,
3/24/2010,"3 5 23 28 42 49 41",3,5,23,28,42,49,41,"£2,223,516","£2,223,516",,,,,,,
3/20/2010,"5 11 13 18 25 46 26",5,11,13,18,25,46,26,"£3,957,915","£3,957,915",,,,,,,
3/17/2010,"16 30 34 37 41 42 5",16,30,34,37,41,42,5,"£2,969,627","£2,969,627",,,,,,,
3/13/2010,"23 25 28 33 44 49 46",23,25,28,33,44,49,46,"£4,605,336","£4,605,336",,,,,,,
3/10/2010,"1 6 13 23 29 34 37",1,6,13,23,29,34,37,"£2,348,612","£2,348,612",,,,,,,
3/6/2010,"6 13 27 28 34 42 43",6,13,27,28,34,42,43,"£7,291,476","£7,291,476",,,,,,,
3/3/2010,"18 27 32 35 44 47 23",18,27,32,35,44,47,23,"£2,683,247 Rolled","£2,683,247",,,,,,,
2/27/2010,"7 14 17 42 44 45 47",7,14,17,42,44,45,47,"£4,310,939","£4,310,939",,,,,,,
2/24/2010,"3 11 18 23 38 49 34",3,11,18,23,38,49,34,"£2,217,363","£2,217,363",,,,,,,
2/20/2010,"8 24 27 31 34 36 19",8,24,27,31,34,36,19,"£4,856,214","£4,856,214",,,,,,,
2/17/2010,"3 22 27 31 38 49 45",3,22,27,31,38,49,45,"£2,566,661","£2,566,661",,,,,,,
2/13/2010,"16 22 24 30 39 44 9",16,22,24,30,39,44,9,"£4,779,389","£4,779,389",,,,,,,
2/10/2010,"5 7 15 37 42 44 3",5,7,15,37,42,44,3,"£2,356,216","£2,356,216",,,,,,,
2/6/2010,"3 12 15 17 22 29 5",3,12,15,17,22,29,5,"£3,668,220","£3,668,220",,,,,,,
2/3/2010,"3 11 12 20 21 28 31",3,11,12,20,21,28,31,"£1,942,838","£1,942,838",,,,,,,
1/30/2010,"2 3 4 19 23 40 22",2,3,4,19,23,40,22,"£4,245,350","£4,245,350",,,,,,,
1/27/2010,"1 4 7 11 13 27 12",1,4,7,11,13,27,12,"£1,322,450","£1,322,450",,,,,,,
1/23/2010,"3 7 8 16 19 30 9",3,7,8,16,19,30,9,"£5,989,293","£5,989,293",,,,,,,
1/20/2010,"2 16 17 18 27 28 43",2,16,17,18,27,28,43,"£2,257,533 Rolled","£2,257,533",,,,,,,
1/16/2010,"4 7 10 14 27 42 25",4,7,10,14,27,42,25,"£5,913,570","£5,913,570",,,,,,,
1/13/2010,"6 8 14 16 21 43 19",6,8,14,16,21,43,19,"£2,303,805 Rolled","£2,303,805",,,,,,,
1/9/2010,"20 24 33 34 37 48 25",20,24,33,34,37,48,25,"£7,826,974","£7,826,974",,,,,,,
1/6/2010,"4 16 18 43 45 49 23",4,16,18,43,45,49,23,"£2,563,777 Rolled","£2,563,777",,,,,,,
1/2/2010,"26 29 30 42 43 47 18",26,29,30,42,43,47,18,"£5,163,134","£5,163,134",,,,,,,
12/30/2009,"5 14 27 29 34 35 4",5,14,27,29,34,35,4,"£10,257,210","£10,257,210",,,,,,,
12/26/2009,"2 8 23 25 36 42 30",2,8,23,25,36,42,30,"£6,985,669 Rolled","£6,985,669",,,,,,,
12/23/2009,"15 18 26 32 36 37 22",15,18,26,32,36,37,22,"£2,868,480 Rolled","£2,868,480",,,,,,,
12/19/2009,"1 20 28 33 40 45 35",1,20,28,33,40,45,35,"£5,014,788","£5,014,788",,,,,,,
12/16/2009,"2 20 34 35 40 44 49",2,20,34,35,40,44,49,"£2,900,560","£2,900,560",,,,,,,
12/12/2009,"3 13 22 23 39 45 4",3,13,22,23,39,45,4,"£4,333,586","£4,333,586",,,,,,,
12/9/2009,"5 13 31 36 40 41 6",5,13,31,36,40,41,6,"£2,816,470","£2,816,470",,,,,,,
12/5/2009,"8 20 36 43 45 49 12",8,20,36,43,45,49,12,"£5,250,430","£5,250,430",,,,,,,
12/2/2009,"2 19 22 25 34 47 28",2,19,22,25,34,47,28,"£7,572,606","£7,572,606",,,,,,,
11/28/2009,"3 4 27 30 36 47 8",3,4,27,30,36,47,8,"£4,680,451 Rolled","£4,680,451",,,,,,,
11/25/2009,"3 6 11 17 23 29 44",3,6,11,17,23,29,44,"£6,804,104","£6,804,104",,,,,,,
11/21/2009,"9 24 30 32 36 40 35",9,24,30,32,36,40,35,"£4,883,733 Rolled","£4,883,733",,,,,,,
11/18/2009,"1 4 12 13 18 19 38",1,4,12,13,18,19,38,"£2,076,538","£2,076,538",,,,,,,
11/14/2009,"1 5 9 20 23 39 38",1,5,9,20,23,39,38,"£4,222,850","£4,222,850",,,,,,,
11/11/2009,"4 6 12 31 38 48 29",4,6,12,31,38,48,29,"£11,450,024","£11,450,024",,,,,,,
11/7/2009,"19 21 39 44 45 49 47",19,21,39,44,45,49,47,"£8,047,337 Rolled","£8,047,337",,,,,,,
11/4/2009,"1 2 23 39 42 49 5",1,2,23,39,42,49,5,"£2,681,258 Rolled","£2,681,258",,,,,,,
10/31/2009,"12 18 26 35 40 44 49",12,18,26,35,40,44,49,"£12,818,352","£12,818,352",,,,,,,
10/28/2009,"24 25 34 38 41 43 11",24,25,34,38,41,43,11,"£7,354,212 Rolled","£7,354,212",,,,,,,
10/24/2009,"5 9 12 31 32 38 3",5,9,12,31,32,38,3,"£4,110,646 Rolled","£4,110,646",,,,,,,
10/21/2009,"6 12 16 19 33 44 20",6,12,16,19,33,44,20,"£2,059,106","£2,059,106",,,,,,,
10/17/2009,"11 25 27 32 37 43 3",11,25,27,32,37,43,3,"£4,556,769","£4,556,769",,,,,,,
10/14/2009,"5 11 24 32 35 42 20",5,11,24,32,35,42,20,"£2,382,372","£2,382,372",,,,,,,
10/10/2009,"17 36 37 40 43 45 34",17,36,37,40,43,45,34,"£5,220,480","£5,220,480",,,,,,,
10/7/2009,"26 27 28 43 45 46 5",26,27,28,43,45,46,5,"£2,868,364","£2,868,364",,,,,,,
10/3/2009,"14 21 23 32 36 46 17",14,21,23,32,36,46,17,"£4,860,682","£4,860,682",,,,,,,
9/30/2009,"2 10 15 28 36 41 8",2,10,15,28,36,41,8,"£2,509,338","£2,509,338",,,,,,,
9/26/2009,"3 5 17 32 40 43 29",3,5,17,32,40,43,29,"£4,525,058","£4,525,058",,,,,,,
9/23/2009,"23 25 28 41 46 47 27",23,25,28,41,46,47,27,"£3,681,197","£3,681,197",,,,,,,
9/19/2009,"18 20 31 33 43 45 1",18,20,31,33,43,45,1,"£5,109,794","£5,109,794",,,,,,,
9/16/2009,"18 23 34 44 46 48 6",18,23,34,44,46,48,6,"£2,734,854","£2,734,854",,,,,,,
9/12/2009,"18 20 24 30 43 44 47",18,20,24,30,43,44,47,"£7,635,790","£7,635,790",,,,,,,
9/9/2009,"2 11 23 28 35 39 15",2,11,23,28,35,39,15,"£2,450,464 Rolled","£2,450,464",,,,,,,
9/5/2009,"12 19 22 26 36 41 39",12,19,22,26,36,41,39,"£6,805,792","£6,805,792",,,,,,,
9/2/2009,"2 4 7 27 28 35 21",2,4,7,27,28,35,21,"£1,886,585 Rolled","£1,886,585",,,,,,,
8/29/2009,"9 18 34 37 39 47 5",9,18,34,37,39,47,5,"£4,908,817","£4,908,817",,,,,,,
8/26/2009,"3 9 11 17 27 48 6",3,9,11,17,27,48,6,"£6,671,970","£6,671,970",,,,,,,
8/22/2009,"18 23 24 36 43 44 21",18,23,24,36,43,44,21,"£4,588,768 Rolled","£4,588,768",,,,,,,
8/19/2009,"10 23 26 30 41 45 49",10,23,26,30,41,45,49,"£2,631,541","£2,631,541",,,,,,,
8/15/2009,"16 31 32 46 47 48 34",16,31,32,46,47,48,34,"£5,232,847","£5,232,847",,,,,,,
12/8/2009,"9 20 21 27 39 40 14",9,20,21,27,39,40,14,"£2,612,973","£2,612,973",,,,,,,
8/8/2009,"9 17 26 32 33 36 6",9,17,26,32,33,36,6,"£7,474,168","£7,474,168",,,,,,,
5/8/2009,"1 16 18 32 39 44 33",1,16,18,32,39,44,33,"£2,693,745 Rolled","£2,693,745",,,,,,,
1/8/2009,"2 6 27 28 40 49 14",2,6,27,28,40,49,14,"£4,593,096","£4,593,096",,,,,,,
7/29/2009,"3 13 19 20 23 26 1",3,13,19,20,23,26,1,"£2,055,447","£2,055,447",,,,,,,
7/25/2009,"8 17 30 32 38 40 4",8,17,30,32,38,40,4,"£4,739,811","£4,739,811",,,,,,,
7/22/2009,"2 22 23 31 35 40 20",2,22,23,31,35,40,20,"£2,665,282","£2,665,282",,,,,,,
7/18/2009,"9 27 28 33 39 41 12",9,27,28,33,39,41,12,"£4,576,254","£4,576,254",,,,,,,
7/15/2009,"5 8 10 29 39 41 15",5,8,10,29,39,41,15,"£2,473,609","£2,473,609",,,,,,,
7/11/2009,"4 6 10 28 35 39 8",4,6,10,28,35,39,8,"£4,407,550","£4,407,550",,,,,,,
7/8/2009,"10 16 21 22 35 49 31",10,16,21,22,35,49,31,"£7,985,672","£7,985,672",,,,,,,
7/4/2009,"14 16 26 39 44 48 23",14,16,26,39,44,48,23,"£4,857,749 Rolled","£4,857,749",,,,,,,
7/1/2009,"1 2 11 31 38 43 46",1,2,11,31,38,43,46,"£2,495,068","£2,495,068",,,,,,,
6/27/2009,"9 17 25 26 31 42 7",9,17,25,26,31,42,7,"£6,552,782","£6,552,782",,,,,,,
6/24/2009,"10 17 20 21 23 31 32",10,17,20,21,23,31,32,"£2,270,554 Rolled","£2,270,554",,,,,,,
6/20/2009,"3 4 17 24 29 40 46",3,4,17,24,29,40,46,"£6,524,682","£6,524,682",,,,,,,
6/17/2009,"8 10 11 14 28 36 18",8,10,11,14,28,36,18,"£2,108,589 Rolled","£2,108,589",,,,,,,
6/13/2009,"1 13 18 36 43 48 2",1,13,18,36,43,48,2,"£4,781,662","£4,781,662",,,,,,,
6/10/2009,"3 8 21 23 30 46 26",3,8,21,23,30,46,26,"£2,216,540","£2,216,540",,,,,,,
6/6/2009,"6 14 32 35 41 42 43",6,14,32,35,41,42,43,"£7,542,072","£7,542,072",,,,,,,
6/3/2009,"4 6 22 31 33 35 3",4,6,22,31,33,35,3,"£2,464,940 Rolled","£2,464,940",,,,,,,
5/30/2009,"2 5 19 20 33 43 32",2,5,19,20,33,43,32,"£4,366,260","£4,366,260",,,,,,,
5/27/2009,"2 12 24 31 41 48 40",2,12,24,31,41,48,40,"£2,517,526","£2,517,526",,,,,,,
5/23/2009,"12 17 32 41 44 48 15",12,17,32,41,44,48,15,"£7,812,154","£7,812,154",,,,,,,
5/20/2009,"9 10 30 37 45 46 29",9,10,30,37,45,46,29,"£2,772,267 Rolled","£2,772,267",,,,,,,
5/16/2009,"1 5 9 27 42 45 21",1,5,9,27,42,45,21,"£3,949,386","£3,949,386",,,,,,,
5/13/2009,"13 16 19 31 37 47 5",13,16,19,31,37,47,5,"£2,700,948","£2,700,948",,,,,,,
5/9/2009,"6 9 28 31 37 42 12",6,9,28,31,37,42,12,"£4,427,674","£4,427,674",,,,,,,
5/6/2009,"1 8 10 13 20 34 28",1,8,10,13,20,34,28,"£2,317,069","£2,317,069",,,,,,,
5/2/2009,"10 17 25 32 34 40 20",10,17,25,32,34,40,20,"£8,067,552","£8,067,552",,,,,,,
4/29/2009,"1 15 35 42 45 48 38",1,15,35,42,45,48,38,"£2,869,223 Rolled","£2,869,223",,,,,,,
4/25/2009,"7 14 17 39 41 49 29",7,14,17,39,41,49,29,"£7,871,010","£7,871,010",,,,,,,
4/22/2009,"11 21 34 42 43 45 20",11,21,34,42,43,45,20,"£2,793,752 Rolled","£2,793,752",,,,,,,
4/18/2009,"13 24 33 35 42 49 37",13,24,33,35,42,49,37,"£4,863,549","£4,863,549",,,,,,,
4/15/2009,"5 9 18 23 31 39 37",5,9,18,23,31,39,37,"£2,133,758","£2,133,758",,,,,,,
4/11/2009,"6 11 24 30 32 45 3",6,11,24,30,32,45,3,"£4,651,327","£4,651,327",,,,,,,
4/8/2009,"8 10 21 23 25 48 3",8,10,21,23,25,48,3,"£10,784,075","£10,784,075",,,,,,,
4/4/2009,"11 18 28 32 36 39 21",11,18,28,32,36,39,21,"£7,281,415 Rolled","£7,281,415",,,,,,,
4/1/2009,"3 5 14 19 24 40 38",3,5,14,19,24,40,38,"£2,243,028 Rolled","£2,243,028",,,,,,,
3/28/2009,"2 17 19 28 31 47 14",2,17,19,28,31,47,14,"£13,915,570","£13,915,570",,,,,,,
3/25/2009,"13 23 26 27 37 49 47",13,23,26,27,37,49,47,"£8,565,434 Rolled","£8,565,434",,,,,,,
3/21/2009,"1 31 32 33 36 38 8",1,31,32,33,36,38,8,"£5,515,082 Rolled","£5,515,082",,,,,,,
3/18/2009,"2 5 22 25 39 41 27",2,5,22,25,39,41,27,"£2,503,931","£2,503,931",,,,,,,
3/14/2009,"9 16 25 29 31 37 24",9,16,25,29,31,37,24,"£4,418,395","£4,418,395",,,,,,,
3/11/2009,"6 9 20 21 31 34 48",6,9,20,21,31,34,48,"£2,525,485","£2,525,485",,,,,,,
3/7/2009,"6 21 30 32 33 44 35",6,21,30,32,33,44,35,"£7,903,598","£7,903,598",,,,,,,
3/4/2009,"3 21 25 32 37 46 15",3,21,25,32,37,46,15,"£2,753,657 Rolled","£2,753,657",,,,,,,
2/28/2009,"6 25 33 37 42 43 23",6,25,33,37,42,43,23,"£7,877,282","£7,877,282",,,,,,,
2/25/2009,"6 19 25 32 37 39 21",6,19,25,32,37,39,21,"£2,648,600 Rolled","£2,648,600",,,,,,,
2/21/2009,"18 22 26 42 45 46 44",18,22,26,42,45,46,44,"£5,130,824","£5,130,824",,,,,,,
2/18/2009,"5 23 24 29 39 44 26",5,23,24,29,39,44,26,"£3,325,788","£3,325,788",,,,,,,
2/14/2009,"2 4 17 19 38 45 15",2,4,17,19,38,45,15,"£7,769,924","£7,769,924",,,,,,,
